,precision,recall,f1-score,support
0,0.9321663019693655,0.9876939539860888,0.9591271215794943,5607.0
1,0.9433032046014791,0.7401676337846551,0.8294797687861273,1551.0
accuracy,0.9340597932383348,0.9340597932383348,0.9340597932383348,0.9340597932383348
macro avg,0.9377347532854223,0.863930793885372,0.8943034451828108,7158.0
weighted avg,0.9345794531264496,0.9340597932383348,0.9310350505844521,7158.0
